"match_id","player_id","set_number","games_won","tiebreak_points"
1,1,1,2,
1,3,1,6,
1,1,2,6,
1,3,2,2,
1,1,3,6,
1,3,3,3,
1,1,4,7,
1,3,4,5,
2,1,1,6,
2,4,1,4,
2,1,2,7,7
2,4,2,6,5
2,1,3,6,3
2,4,3,7,7
2,1,4,6,4
2,4,4,7,7
2,1,5,7,
2,4,5,5,
3,3,1,3,
3,2,1,6,
3,3,2,6,
3,2,2,3,
3,3,3,4,
3,2,3,6,
3,3,4,6,
3,2,4,4,
3,3,5,6,
3,2,5,4,
4,9,1,3,
4,2,1,6,
4,9,2,4,
4,2,2,6,
4,9,3,4,
4,2,3,6,
5,11,1,4,
5,12,1,6,
5,11,2,6,
5,12,2,4,
5,11,3,4,
5,12,3,6,
6,15,1,3,
6,12,1,6,
6,15,2,6,7
6,12,2,7,9
7,11,1,6,
7,19,1,1,
7,11,2,7,7
7,19,2,6,1
8,11,1,3,
8,12,1,6,
8,11,2,6,
8,12,2,3,
8,11,3,7,8
8,12,3,6,6
9,20,1,6,4
9,19,1,7,7
9,20,2,6,
9,19,2,4,
9,20,3,0,
9,19,3,6,
10,1,1,3,
10,10,1,6,
10,1,2,6,3
10,10,2,7,7
11,1,1,6,4
11,2,1,7,7
11,1,2,5,
11,2,2,7,
12,1,1,6,2
12,7,1,7,7
12,1,2,7,
12,7,2,5,
12,1,3,6,
12,7,3,3,
13,4,1,2,
13,2,1,6,
13,4,2,4,
13,2,2,6,
14,2,1,6,
14,9,1,3,
14,2,2,7,7
14,9,2,6,3
15,8,1,4,
15,2,1,6,
15,8,2,6,4
15,2,2,7,7
16,20,1,6,
16,16,1,2,
16,20,2,5,
16,16,2,7,
16,20,3,6,4
16,16,3,7,7
17,12,1,6,
17,17,1,3,
17,12,2,6,
17,17,2,2,
18,14,1,6,
18,17,1,4,
18,14,2,6,
18,17,2,3,
19,11,1,6,
19,15,1,2,
19,11,2,4,
19,15,2,6,
19,11,3,6,2
19,15,3,7,7
20,19,1,6,
20,16,1,4,
20,19,2,6,
20,16,2,1,
