"personnel_id","first_name","last_name","birth_date","country"
1,Juan Carlos,Ferrero,1980-02-12,Spain
2,Samuel,Lopez,1970-02-01,Spain
3,Simone,Vagnozzi,1983-05-30,Italy
4,Dusan,Vemic,1976-06-17,Serbia
5,Alexander,Zverev Sr.,1960-01-22,Germany
6,Simone,Tartarini,1968-11-30,Italy
7,Matt,Reid,1990-07-17,Australia
8,Michael,Russell,1978-05-01,USA
9,Frederic,Fontang,1970-03-18,France
10,Bryan,Shelton,1965-12-22,USA
11,Gilles,Cervara,1981-01-02,France
12,Anton,Dubrov,1995-06-18,Belarus
13,Goran,Ivanisevic,1971-09-13,Croatia
14,Wim,Fissette,1980-03-22,Belgium
15,Jean-Christophe,Faurel,1981-03-06,France
16,Mark,Merklein,1972-06-28,Bahamas
17,Hendrik,Vleeshouwers,1985-09-27,Netherlands
18,Sara,Errani,1987-04-29,Italy
19,Andrew,Bettles,1993-01-18,Great Britain
20,Nathalie,Tauziat,1967-10-17,France
21,Conchita,Martinez,1972-04-16,Spain
22,Daria,Abramowicz,1987-10-10,Poland
23,Maciej,Ryszczuk,1986-05-27,Poland
24,Dieter,Kindlmann,1982-06-03,Germany
