"player_id","first_name","last_name","birth_date","country","height_cm","handedness"
1,Carlos,Alcaraz,2003-05-05,Spain,183,R
2,Jannik,Sinner,2001-08-16,Italy,191,R
3,Novak,Djokovic,1987-05-22,Serbia,188,R
4,Alexander,Zverev,1997-04-20,Germany,198,R
5,Lorenzo,Musetti,2002-03-03,Italy,185,R
6,Alex,de Minaur,1999-02-17,Australia,183,R
7,Taylor,Fritz,1997-10-28,USA,196,R
8,Felix,Auger-Aliassime,2000-08-08,Canada,193,R
9,Ben,Shelton,2002-10-09,USA,193,L
10,Daniil,Medvedev,1996-02-11,Russia,198,R
11,Aryna,Sabalenka,1998-05-05,Belarus,182,R
12,Elena,Rybakina,1999-06-17,Kazakhstan,184,R
13,Iga,Swiatek,2001-05-31,Poland,176,R
14,Coco,Gauff,2004-03-13,USA,175,R
15,Jessica,Pegula,1994-02-24,USA,170,R
16,Amanda,Anisimova,2001-08-31,USA,180,R
17,Jasmine,Paolini,1996-01-04,Italy,163,R
18,Elina,Svitolina,1994-09-12,Ukraine,174,R
19,Victoria,Mboko,2006-08-26,Canada,176,R
20,Mirra,Andreeva,2007-04-29,Russia,175,R
