"player_id","sponsor_id","contract_start","contract_end","contract_value"
1,1,2025-09-17,,
1,2,2023-08-25,,
2,3,2026-02-09,,
3,4,2017-05-22,,
3,5,2024-11-20,,
4,6,2016-02-01,,
5,7,2025-01-02,,
5,8,2025-10-16,,
6,9,2026-01-16,,
7,10,2024-03-06,,
8,6,2021-01-19,,
9,11,2024-01-14,,
9,12,2023-08-30,,
10,4,2023-01-16,,
11,13,2026-01-15,,
11,14,2024-01-11,,
12,15,2025-05-21,,
13,16,2024-04-16,,
13,23,2023-06-26,,
14,17,2025-04-23,,
15,18,2022-08-31,,
16,19,2020-01-24,,
17,20,2025-05-08,,
17,21,2025-02-18,,
18,22,2025-06-24,,
19,9,2026-01-16,,
20,11,2025-01-28,,
