"team_id","player_id","start_date","end_date"
1,1,2018-01-01,2025-12-17
2,1,2026-01-01,
3,2,2022-02-01,
4,3,2025-05-20,
5,4,2026-01-01,
6,5,2026-01-01,
7,6,2026-01-01,
8,7,2021-01-01,
9,8,2017-01-01,
10,9,2023-01-01,
11,10,2017-01-01,2025-08-31
12,11,2020-09-01,
13,12,2025-01-01,
14,13,2024-10-17,2026-03-23
15,14,2019-03-01,
16,15,2024-02-01,
17,16,2023-07-01,
18,17,2025-12-09,
19,18,2026-01-01,
20,19,2026-01-01,
21,20,2024-04-01,
22,11,2020-08-01,2020-08-31
23,16,2020-01-01,2020-12-31
24,4,2017-08-01,2018-02-28
