"base_id","base_name","country","city","surface_type","is_outdoor"
1,Ferrero Tennis Academy / Equelite,Spain,Villena,,true
2,Monte-Carlo Country Club,France,Roquebrune-Cap-Martin,Clay,true
3,Rafa Nadal Academy by Movistar,Spain,Manacor,,true
4,Mouratoglou Tennis Academy,France,Biot,,true
5,Elite Tennis Center,France,Cannes,,true
6,Tennis Canada National Training Centre,Canada,Montreal,,false
7,National Tennis Academy,Belarus,Minsk,,false
8,Spartak Tennis Club,Russia,Moscow,,false
9,Mera Warsaw Tennis Club,Poland,Warsaw,,true
10,Tennis Club Italia,Italy,Forte dei Marmi,Clay,true
11,USTA Training Center,USA,Carson,Hard,true
12,ProWorld Tennis Academy,USA,Delray Beach,Hard,true
13,Piatti Tennis Center,Italy,Bordighera,,true
14,"4Slam Tennis Academy",UAE,Dubai,,false
15,CF Tennis Academy,UAE,Dubai,,false
16,Saddlebrook Tennis Academy,USA,Wesley Chapel,,true
17,IMG Academy,USA,Bradenton,,true
18,Justine Henin Academy,Belgium,Limelette,,false
19,Murcia Performance Base,Spain,Murcia,,true
20,Alicante High Performance Base,Spain,Alicante,,true
